Googlebot,Google (google.com)
Google favicon,Google (google.com)
bing,Bing (bing.com)
msnbot,Bing (bing.com)
daumoa,Daum (daum.net)
naverbot,Naver (naver.com)
yeti,Naver (naver.com)
zumbot,Zum (zum.com)
slurp,Yahoo! (yahoo.com)
yahoo,Yahoo! (yahoo.com)
ips-agent,VeriSign (verisigninc.com)
siteexplorer,siteexplorer.info
EasouSpider,easou.com
Sogou,sogou.com
YandexBot,yandex.com
Aboundex,aboundex.com
inboundscore,inboundscore.com
Teoma,Ask.com
recruitingpoint,recruitingpoint.com
NetcraftSurveyAgent,netcraft.com
LinkpadBot,linkpad.ru
Exabot,exabot.com
linkdex,linkdex.com
baidu,baidu.com
TweetmemeBot,datasift.com
Nutch,nutch.apache.org
search.thunderstone.com,Thunderstone.com
MSIE or Firefox mutant; not on Windows server;,Unknown
